WALLET,TX_PER_MONTH,TOKEN_DIVERSITY,PROTOCOL_DIVERSITY,TOTAL_TRANSFER_USD,INTERACTION_DIVERSITY,ACTIVE_DURATION_DAYS,AVG_TRANSFER_USD,USD_TRANSFER_STDDEV,DEX_EVENTS,GAMES_EVENTS,CEX_EVENTS,DAPP_EVENTS,CHADMIN_EVENTS,DEFI_EVENTS,BRIDGE_EVENTS,NFT_EVENTS,TOKEN_EVENTS,FLOTSAM_EVENTS,BRIDGE_OUTFLOW_COUNT,BRIDGE_INFLOW_COUNT,BRIDGE_TOTAL_VOLUME_USD
0xd34c7ebfecd5f7dd962790330325c6dc82a0cb3c,54.000000,2,2,464.29,5,100,2.018652174,0.8636386175,0,0,0,0,0,0,94,0,0,0,0,0,0
0x7f432d2b07701dfc13f3f65af7f754611ac0e4c8,25.166667,7,16,26718.42,15,117,111.792552301,160.469199896,5,0,0,0,0,26,5,0,14,0,1,0,10
0xb1d95812d7009cc59eea6eb43dbdcb21270565b4,79.333333,5,24,50409.67,13,177,34.152892954,175.656606759,65,0,0,0,0,2,0,0,2,0,0,0,0
0xfb6f3e700594d3ca7d78324723c42aaaa0e6670c,69.166667,6,13,45307.48,14,180,43.356440191,149.846231539,44,0,0,0,0,4,4,0,0,0,4,0,1330.32
0x49a26a07cfb26f365563b77327cc0fe0147f0859,66.666667,7,11,74003.24,11,167,59.249991994,497.280013492,52,0,0,0,0,7,7,0,31,0,6,0,20337.66
0x5c537e4b6348b69db8adfcde35658843e71762ec,34.000000,3,11,41350.84,13,140,82.70168,390.435572474,22,0,0,0,0,4,0,0,3,0,0,0,0
0xc933ae0de2ed123304bc6b34a0d1f10ae7f08139,123.166667,13,35,76775.9,16,181,32.177661358,165.33471941,106,0,0,0,0,7,6,0,21,0,4,0,1637.6
0xb84ac3991cc2f63086a615cf105db94331bf7378,43.333333,12,13,9636,6,86,15.150943396,31.741960975,0,0,0,1,0,0,4,0,5,0,2,0,432.16
0x446fce04cd1f24ecc1e875560306e003264cbcb1,28.500000,3,10,5456.37,8,49,7.413546196,20.014709382,35,0,0,0,0,3,0,0,1,0,0,0,0
0x4f759f4eca1e19069f19f2544ac880357b5aa8b0,73.000000,2,5,480.69,8,144,1.663287197,1.087419053,0,0,0,0,0,0,120,0,0,0,0,0,0
0x37af985c8029f97f160ed5529f0ed6458e5eb808,38.000000,2,16,21181.57,10,158,70.841371237,108.869698825,34,0,0,0,0,0,28,0,0,0,11,0,3377.15
0xd6b694b69856f6cf47a802e3fe0a8a535adcc90f,12.333333,7,18,565.7,11,124,8.198550725,14.943925941,2,0,0,0,0,0,3,0,1,0,3,0,199.26
0x1e6647155f5fa7e686287c5f352620c32295b1e9,18.166667,1,5,594.4,6,176,5.503703704,40.00835597,0,0,0,0,0,0,0,0,0,0,0,0,0
0x03adfaa573ac1a9b19d2b8f79a5aaffb9c2a0532,71.666667,18,21,576.07,19,173,1.528037135,9.767847129,0,0,0,0,5,139,77,0,75,0,4,0,177.8
0xf349da0d56171a890a4c33db015612753ff888f7,161.833333,3,11,30327.08,13,51,11.619570881,151.608671607,107,0,0,0,0,5,0,0,4,0,0,0,0
0xdce7eced1bb8396df8f642c4b7b41d0ed077d5bf,75.000000,9,15,22085.18,14,114,13.855194479,134.120013719,60,0,0,0,0,4,4,0,3,0,3,0,91.57
0x1a7deacfaff3326787741f36f0dd671c77df09b5,53.500000,4,12,24532.89,12,170,17.486022808,71.424912338,68,0,0,0,0,26,0,0,20,0,0,0,0
0xf8f56146c43209fa511b1bcd4f327d7304e02376,25.166667,11,14,5708.5,18,55,9.29723127,23.628559725,2,0,0,0,0,60,6,0,27,0,2,0,52.16
0x3384f9a4905a4cd2f931b1fe78ab9d66cd7c1ee9,37.333333,2,5,122.44,6,181,0.2473535354,1.755613469,0,0,0,1,0,0,0,0,0,0,0,0,0
0x07c92baacc8f78f41ea4ed6daaf236c5ff52c0ef,30.833333,44,7,39535.87,7,180,31.781245981,28.792676657,0,0,0,0,0,0,8,0,4,0,8,0,1022.59
0xd150a47220f657cb5a7e863eb43aa764e5f28978,11.000000,14,12,1794.59,13,156,6.823536122,6.224013661,22,19,0,0,0,1,0,3,0,0,0,0,0
0x32089223af882f006dbc72972a5c34d2b7b9965e,137.666667,7,16,140026.89,14,176,54.085318656,471.450711036,132,0,0,0,0,5,4,0,2,0,4,0,6666.76
0x847543eb2279670c2083d6c914d71bff1501a276,50.000000,9,69,5937.29,15,52,8.056024423,35.57405314,27,0,0,0,0,17,3,0,15,0,1,0,690.4
0x74b2853cfcbb26940db623013a3d800012b5af0d,60.666667,4,11,286014.47,11,95,208.465357143,2791.740787198,64,0,0,0,0,43,0,0,5,0,0,0,0
0xbce8d0b5e9029ff58e81040a93348a3baa1c3d77,8.000000,2,2,14319.67,1,141,298.326458333,436.103718295,0,0,0,0,0,0,34,0,14,0,34,0,13008.81
0xe89c54f0759afec6d6005792b0c32af827521a69,18.500000,6,19,14717.89,11,176,87.088106509,117.057590716,0,0,0,0,0,0,23,0,14,0,0,0,0
0xc5f6e7a14bd4792b99628b74dd1a8cafe51282bb,227.666667,156,3,49499.66,1304,167,45.960687094,98.209960312,0,0,0,0,0,0,0,0,0,0,0,0,0
0x3adca7beec22b0364439f11569c5c6ed2708d29d,17.166667,1,2,73535.77,2,112,1267.858103448,1360.345455497,0,0,0,0,0,0,0,0,58,0,0,0,0
0x78f2248d2f14dc8284ad3b951b9e5362e9b7853c,18.500000,6,13,18416.45,12,140,47.343059126,83.472525019,4,0,0,0,0,3,19,0,3,0,15,0,1730.15
0xc9c2fa90d5f51172bc1e043ece185ee8ae33de03,35.833333,3,7,1619154.4,7,140,3504.663203463,12826.659641766,19,0,0,0,0,61,0,0,9,0,0,0,0
0x4e505b2164705ae31fc82e4c4eb190f3651fbe75,7.833333,5,6,1677.57,2,30,6.33045283,16.929946778,0,0,0,0,0,0,0,0,0,0,0,0,0
0x8e98accd78c1bb1e898ae822b1556234df5ad31d,1.500000,4,5,16.43,4,43,1.369166667,1.340972647,0,0,0,0,0,0,0,0,1,0,0,0,0
0xb8ba1c1000ea4febedd5174e06b48653acb12fd3,90.500000,3,14,16457.32,12,158,13.261337631,30.056422426,49,0,0,0,0,59,0,0,30,0,0,0,0
0x3b2ae6db08362c1c52a22c6e44902bee097c4e4a,46.333333,17,32,2471.69,27,165,10.171563786,23.419241869,4,0,0,1,0,15,1,7,11,0,0,0,0
0x64fc8dc601caf442d09243c0bc5277ed88e0a019,10.833333,19,13,151412.11,8,133,341.018265766,746.075926189,31,0,0,0,0,8,2,0,22,0,0,0,0
0x73fcf5db7c2709aff3453062b1a7d093accdbd5c,23.333333,10,16,14018.95,6,180,81.982163743,110.984788513,0,0,0,0,0,0,0,0,54,0,0,0,0
0x3fa1b94189775cf8322fc973c136191d3a7e1058,99.500000,3,14,792904.71,13,174,405.163367399,2065.844655271,151,0,0,0,0,1,0,0,23,0,0,0,0
0xf600ddc7525540873f4cc6238e44c519c203c8fb,66.166667,177,57,2420.07,12,177,3.130750323,19.28234934,11,0,0,0,0,1,7,0,3,0,3,0,193.98
0x68824b328cd9f7410515057c2c8db3b3bc4cb113,14.333333,10,11,233148.94,9,120,1575.330675676,2155.669801282,0,0,0,0,0,0,7,0,1,0,2,0,390.61
0xb2fcb1ebe768e87f1f73c82846b6801d2dc7ce8b,11.500000,5,12,5389.13,13,149,24.834700461,40.55992248,10,0,0,0,0,7,1,0,6,0,0,0,0
0x31a4d4623c4d92d0202049d6bd988416069d1276,27.166667,16,23,17784.75,29,179,39.001644737,30.007335158,0,0,0,19,0,0,41,0,24,0,5,0,228.07
0x1d0a0cd085bd73c68dd156e1596a0740c06957ce,20.666667,5,21,8767.94,14,157,47.139462366,89.221438156,6,0,0,0,0,11,3,0,26,0,2,0,534
0x4eae35ea112903352786e6a291eb8e118f25085e,15.000000,5,9,128586.49,9,128,328.026760204,1157.003118281,28,0,0,0,0,4,0,0,3,0,0,0,0
0xc6fbfdea7dce28a2e334a99242141bfb074c43a5,8.166667,1,1,2340.82,1,179,47.771836735,102.309695227,0,0,0,0,0,0,0,0,49,0,0,0,0
0x450c4e566871a7ee86e35306a1adb131111869d0,55.333333,13,28,253.55,21,163,1.179302326,3.023209442,1,0,0,4,0,4,3,0,21,0,5,0,1.46
0xd3590e360d9f7a2f84769e3c2223d1b4e12f4a59,114.833333,9,24,16805.72,17,144,10.835409413,56.473839221,56,0,0,0,0,6,5,0,16,0,3,0,692.92
0x99a5af0cb9a1a914564b53ccc7ffe5cb8028c18c,4.666667,8,8,84.12,5,169,1.064810127,0.6764255659,0,0,1,0,0,0,1,0,8,0,1,0,2.48
0xc44930704a2f3c6fd8cceec98a254b5661035dae,53.000000,6,40,85409.63,6,178,142.112529118,258.321110945,0,0,0,0,0,0,95,0,108,0,91,0,18692.49
