WALLET,TX_PER_MONTH,TOKEN_DIVERSITY,PROTOCOL_DIVERSITY,TOTAL_TRANSFER_USD,INTERACTION_DIVERSITY,ACTIVE_DURATION_DAYS,AVG_TRANSFER_USD,USD_TRANSFER_STDDEV
0xdebef051b756a51239a57a29fc243c918df97021,1131.5,14,16,3264.64,14,182,11.535830389,18.405894055
0x7bf377f69da0e46da1502d5f2bcf9fb00c3b610b,365255,0,1,0,1,182,0,0
0x019d0706d65c4768ec8081ed7ce41f59eef9b86c,283742,7,614740,140978912.74,2,182,168.675819684,10403.011850332
0xfa71997a43665bafa29d38056d7ec2034738f9e2,23253.666667,1,27,21614.23,24,182,3602.371666667,8047.993190437
0x2b69f7598f45131ff696c8ccd489428712513ff2,2295.666667,113,5,685539.89,4,182,545.37779634,2022.196928935
0xf364688dda109e4256af9402b51ef639841d0ad5,1084.166667,17,1,130316.88,4,182,771.105798817,2175.974864101
0x1f987e13b6d37c0e4044dc3aa453dc769e0069a5,1504.5,172,4,725370.81,1,182,192.253063875,1107.59696602
0x51850b1c8869964a9cfed62e9c33d5939292393a,1004.333333,21,6,63214.86,4381,182,427.127432432,563.283232783
0x17ac6f1fceb07614dca409ee2d39b3eea335fad9,3227,7,139,98991830,11,182,859.423444228,7213.830555171
0x5c42429286dfb87ac322b7861175089c9895ab48,4970,0,48,0,4,182,0,0
0x79af1c13f2f051563624a71887e47373ffa2ed8d,226.5,6,17,67171.12,12,181,14.282611099,71.537871463
0x25a13a2417448df25e392a082d794b90910d8d14,1526.333333,183,4,812274.12,1,182,209.402969838,1164.829327456
0x55bb84d21579ebb1861a84afc839a51ede2b5ad1,582.833333,24,6,3587.7,2,182,40.769318182,104.59329062
0xbc6f2b387606bbc6f5882760cefffe5e11772ce1,72.333333,5,17,234.79,21,181,3.260972222,15.133788371
0xfffff89e6926d31bb6dbff3a521f8a45e773828f,2962.333333,112,13,903405.59,6,182,253.69435271,733.787176127
0xdd1ee442dc5fb322b7b7167151a3bd9947877cf1,381.833333,9,36,4602.19,43,182,5.119232481,17.321608525
0x7f06f32095ec0659f38b8744884b857798316ae2,2477.166667,0,1,0,11,182,0,0
0x548a09ee6e74f167fc5d1b164afad450e31b1d83,988.5,0,4673,0,1,182,0,0
