,count,unique,top,freq,mean,std,min,25%,50%,75%,max,missing_count,missing_pct
WALLET,20174,20174,0xecb113be97a619aa4d070491505847000f964448,1,,,,,,,,0,0.0
TX_PER_MONTH,20174.0,,,,34.04980833815802,292.17501340927316,1.0,3.166667,10.0,26.666667,21309.5,0,0.0
TOKEN_DIVERSITY,20174.0,,,,4.493308218499058,10.471875159944545,1.0,1.0,3.0,5.0,1031.0,0,0.0
PROTOCOL_DIVERSITY,20174.0,,,,11.312877961732923,148.2735516094852,1.0,3.0,8.0,13.0,20923.0,0,0.0
TOTAL_TRANSFER_USD,20174.0,,,,1306086.5376514322,139784625.46184567,0.01,373.05,2810.52,18605.644999999997,19602977094.29,0,0.0
INTERACTION_DIVERSITY,20174.0,,,,10.457321304649549,435.59758035119364,1.0,2.0,6.0,11.0,61819.0,0,0.0
ACTIVE_DURATION_DAYS,20174.0,,,,106.16570833746407,49.30682802004302,15.0,61.0,105.0,152.0,181.0,0,0.0
AVG_TRANSFER_USD,20174.0,,,,1383.5461589216945,72928.43334443934,3.63834819e-06,9.32728723425,44.255624999999995,167.39594660225,8572492.08837607,0,0.0
USD_TRANSFER_STDDEV,20174.0,,,,7575.503753494032,624063.0674743068,0.0,10.85505080375,61.0839825005,264.47758806825,66167196.0706637,0,0.0
DEX_EVENTS,20174.0,,,,16.38197680182413,444.32618425823955,0.0,0.0,0.0,4.0,35806.0,0,0.0
GAMES_EVENTS,20174.0,,,,3.8265589372459603,30.163603313268197,0.0,0.0,0.0,0.0,2796.0,0,0.0
CEX_EVENTS,20174.0,,,,0.2931000297412511,4.109430471921412,0.0,0.0,0.0,0.0,275.0,0,0.0
DAPP_EVENTS,20174.0,,,,3.826112818479231,354.2271949839198,0.0,0.0,0.0,0.0,44990.0,0,0.0
CHADMIN_EVENTS,20174.0,,,,4.666352731238227,545.7346551633328,0.0,0.0,0.0,0.0,77348.0,0,0.0
DEFI_EVENTS,20174.0,,,,6.268315653811837,274.11924804323746,0.0,0.0,0.0,3.0,38838.0,0,0.0
BRIDGE_EVENTS,20174.0,,,,19.66288291860811,698.7783652922167,0.0,0.0,1.0,6.0,75240.0,0,0.0
NFT_EVENTS,20174.0,,,,2.731188658669575,40.55100052144629,0.0,0.0,0.0,0.0,2491.0,0,0.0
TOKEN_EVENTS,20174.0,,,,8.601318528799444,105.41282840928227,0.0,0.0,1.0,5.0,12397.0,0,0.0
FLOTSAM_EVENTS,20174.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
BRIDGE_OUTFLOW_COUNT,20174.0,,,,14.511252106671954,686.374683149268,0.0,0.0,0.0,3.0,75236.0,0,0.0
BRIDGE_INFLOW_COUNT,20174.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
BRIDGE_TOTAL_VOLUME_USD,20174.0,,,,24044.034823535247,859373.1069714435,0.0,0.0,0.0,199.2975,67951457.05,0,0.0
activity_cluster_label,20174.0,,,,0.5610687022900763,0.5033109706896995,-1.0,0.0,1.0,1.0,1.0,0,0.0
BEHAVIOURAL_VOLATILITY_SCORE,20174.0,,,,0.578979347280828,0.07028997010263348,0.3079968489182309,0.5537084301252455,0.5911041172704217,0.6259914412123767,0.8197917616808487,0,0.0
CROSS_DOMAIN_ENGAGEMENT_SCORE,20174.0,,,,0.3842472419034677,0.39959677021598367,0.0,0.0,0.262681534815392,0.8112781244591328,1.0,0,0.0
REVENUE_SCORE_PROXY,20174.0,,,,46784.498722914555,3084413.648085349,0.0006666666667,51.01662798237018,299.833958112475,1516.6001084838983,399231793.2895174,0,0.0
DEX_EVENTS_MEDIAN,20174.0,,,,29.0,0.0,29.0,29.0,29.0,29.0,29.0,0,0.0
CEX_EVENTS_MEDIAN,20174.0,,,,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0,0.0
BRIDGE_EVENTS_MEDIAN,20174.0,,,,29.0,0.0,29.0,29.0,29.0,29.0,29.0,0,0.0
DEFI_EVENTS_MEDIAN,20174.0,,,,12.0,0.0,12.0,12.0,12.0,12.0,12.0,0,0.0
DEX_EVENTS_SIGNED_DIST,20174.0,,,,12.61802319817587,444.32618425823955,-35777.0,25.0,29.0,29.0,29.0,0,0.0
CEX_EVENTS_SIGNED_DIST,20174.0,,,,1.7068999702587488,4.109430471921412,-273.0,2.0,2.0,2.0,2.0,0,0.0
BRIDGE_EVENTS_SIGNED_DIST,20174.0,,,,9.33711708139189,698.7783652922167,-75211.0,23.0,28.0,29.0,29.0,0,0.0
DEFI_EVENTS_SIGNED_DIST,20174.0,,,,5.731684346188163,274.11924804323746,-38826.0,9.0,12.0,12.0,12.0,0,0.0
