,count,unique,top,freq,mean,std,min,25%,50%,75%,max,missing_count,missing_pct
WALLET,71,71,0x5ee7b821d4f7e91fd52fcde785e52532fc6e653b,1,,,,,,,,0,0.0
TX_PER_MONTH,71.0,,,,96.5446009859155,72.93622981004755,2.166667,28.25,87.166667,123.16666649999999,391.166667,0,0.0
TOKEN_DIVERSITY,71.0,,,,2.8309859154929575,2.0631869626032286,1.0,2.0,2.0,3.5,12.0,0,0.0
PROTOCOL_DIVERSITY,71.0,,,,4.830985915492958,1.309153657825846,2.0,5.0,5.0,6.0,6.0,0,0.0
TOTAL_TRANSFER_USD,71.0,,,,473.0118309859154,239.03384598545787,54.38,406.38,497.08,553.745,1226.23,0,0.0
INTERACTION_DIVERSITY,71.0,,,,6.704225352112676,2.7743435063719284,1.0,5.0,8.0,8.0,12.0,0,0.0
ACTIVE_DURATION_DAYS,71.0,,,,156.11267605633802,15.74488515203284,129.0,143.0,151.0,172.0,181.0,0,0.0
AVG_TRANSFER_USD,71.0,,,,16.357221332776195,38.70979879441859,0.0490610687,0.9734807022,1.437842566,9.7271918135,161.998,0,0.0
USD_TRANSFER_STDDEV,71.0,,,,16.361524877164932,45.788237109262695,0.04931350314,0.6703714009,1.116154373,14.5186864445,307.608439442,0,0.0
DEX_EVENTS,71.0,,,,0.2676056338028169,1.403645727371336,0.0,0.0,0.0,0.0,11.0,0,0.0
GAMES_EVENTS,71.0,,,,21.676056338028168,73.76057302378271,0.0,0.0,0.0,0.0,468.0,0,0.0
CEX_EVENTS,71.0,,,,0.16901408450704225,1.424137989832624,0.0,0.0,0.0,0.0,12.0,0,0.0
DAPP_EVENTS,71.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
CHADMIN_EVENTS,71.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
DEFI_EVENTS,71.0,,,,0.056338028169014086,0.3736814511877336,0.0,0.0,0.0,0.0,3.0,0,0.0
BRIDGE_EVENTS,71.0,,,,77.83098591549296,94.9249306279882,0.0,0.0,5.0,136.5,229.0,0,0.0
NFT_EVENTS,71.0,,,,0.5774647887323944,1.9468800816470142,0.0,0.0,0.0,0.0,12.0,0,0.0
TOKEN_EVENTS,71.0,,,,0.23943661971830985,0.9329643804622272,0.0,0.0,0.0,0.0,5.0,0,0.0
FLOTSAM_EVENTS,71.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
BRIDGE_OUTFLOW_COUNT,71.0,,,,0.4788732394366197,1.4428063421142385,0.0,0.0,0.0,0.0,8.0,0,0.0
BRIDGE_INFLOW_COUNT,71.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
BRIDGE_TOTAL_VOLUME_USD,71.0,,,,29.784084507042255,140.08731110660406,0.0,0.0,0.0,0.0,859.33,0,0.0
activity_cluster_label,71.0,,,,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0.0
BEHAVIOURAL_VOLATILITY_SCORE,71.0,,,,0.5459782165661013,0.09932942757690673,0.3288623853300222,0.5666051414750108,0.5720109563623457,0.5959379263479339,0.7125301120714864,0,0.0
CROSS_DOMAIN_ENGAGEMENT_SCORE,71.0,,,,0.08868580222670809,0.23703885268085714,0.0,0.0,0.0,0.0,1.0,0,0.0
REVENUE_SCORE_PROXY,71.0,,,,262.7042724923326,1008.2765326647819,3.62533332687308,40.97193075335155,49.15855947600001,58.17642617929406,6885.3649882664,0,0.0
DEX_EVENTS_MEDIAN,71.0,,,,29.0,0.0,29.0,29.0,29.0,29.0,29.0,0,0.0
CEX_EVENTS_MEDIAN,71.0,,,,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0,0.0
BRIDGE_EVENTS_MEDIAN,71.0,,,,29.0,0.0,29.0,29.0,29.0,29.0,29.0,0,0.0
DEFI_EVENTS_MEDIAN,71.0,,,,12.0,0.0,12.0,12.0,12.0,12.0,12.0,0,0.0
DEX_EVENTS_SIGNED_DIST,71.0,,,,28.732394366197184,1.403645727371336,18.0,29.0,29.0,29.0,29.0,0,0.0
CEX_EVENTS_SIGNED_DIST,71.0,,,,1.8309859154929577,1.424137989832624,-10.0,2.0,2.0,2.0,2.0,0,0.0
BRIDGE_EVENTS_SIGNED_DIST,71.0,,,,-48.83098591549296,94.9249306279882,-200.0,-107.5,24.0,29.0,29.0,0,0.0
DEFI_EVENTS_SIGNED_DIST,71.0,,,,11.943661971830986,0.3736814511877336,9.0,12.0,12.0,12.0,12.0,0,0.0
