,count,unique,top,freq,mean,std,min,25%,50%,75%,max,missing_count,missing_pct
WALLET,8713,8713,0xa5a1a2abcc2b67990b37b749c4e840f1fa093c97,1,,,,,,,,0,0.0
TX_PER_MONTH,8713.0,,,,10.072477917020544,20.968798578490418,1.0,1.666667,3.333333,10.833333,526.333333,0,0.0
TOKEN_DIVERSITY,8713.0,,,,2.5031562033742683,4.346269143096648,1.0,1.0,1.0,3.0,172.0,0,0.0
PROTOCOL_DIVERSITY,8713.0,,,,2.840583036841501,1.7090200473628083,1.0,1.0,2.0,4.0,7.0,0,0.0
TOTAL_TRANSFER_USD,8713.0,,,,106445.26946401928,4216384.098611468,0.01,177.54,854.41,5313.14,333880273.2,0,0.0
INTERACTION_DIVERSITY,8713.0,,,,3.161253299667164,23.076728622980806,1.0,1.0,2.0,4.0,1260.0,0,0.0
ACTIVE_DURATION_DAYS,8713.0,,,,94.28291059336624,49.248861613478184,15.0,54.0,86.0,135.0,181.0,0,0.0
AVG_TRANSFER_USD,8713.0,,,,1020.9967882648789,22529.04543624424,4.132231405e-05,7.569822785,47.638461538,210.168,1426838.77435897,0,0.0
USD_TRANSFER_STDDEV,8713.0,,,,1742.4731316308232,55147.322932396935,0.0,4.938888311,38.506951822,188.346366517,3906221.43692424,0,0.0
DEX_EVENTS,8713.0,,,,2.9792264432457247,33.51768107882764,0.0,0.0,0.0,0.0,2311.0,0,0.0
GAMES_EVENTS,8713.0,,,,2.596005968093653,18.4841465993411,0.0,0.0,0.0,0.0,355.0,0,0.0
CEX_EVENTS,8713.0,,,,0.2918627338459773,5.117700888242996,0.0,0.0,0.0,0.0,275.0,0,0.0
DAPP_EVENTS,8713.0,,,,0.3668082176058763,8.174194546834622,0.0,0.0,0.0,0.0,616.0,0,0.0
CHADMIN_EVENTS,8713.0,,,,1.4751520716171238,52.01915977108933,0.0,0.0,0.0,0.0,1855.0,0,0.0
DEFI_EVENTS,8713.0,,,,0.5669688970503844,6.940958319503632,0.0,0.0,0.0,0.0,397.0,0,0.0
BRIDGE_EVENTS,8713.0,,,,10.647423390336279,60.77302652919897,0.0,0.0,1.0,8.0,3158.0,0,0.0
NFT_EVENTS,8713.0,,,,0.4990244462297716,6.289304709694163,0.0,0.0,0.0,0.0,363.0,0,0.0
TOKEN_EVENTS,8713.0,,,,5.39768162515781,32.98053491576138,0.0,0.0,0.0,1.0,1687.0,0,0.0
FLOTSAM_EVENTS,8713.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
BRIDGE_OUTFLOW_COUNT,8713.0,,,,8.811890278893607,51.29915355254341,0.0,0.0,0.0,7.0,3158.0,0,0.0
BRIDGE_INFLOW_COUNT,8713.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
BRIDGE_TOTAL_VOLUME_USD,8713.0,,,,32944.264688396644,1127982.2788124976,0.0,0.0,0.0,430.31,67951457.05,0,0.0
activity_cluster_label,8713.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
BEHAVIOURAL_VOLATILITY_SCORE,8713.0,,,,0.5845810898927649,0.08225570769445305,0.3217260239383835,0.5650560337860012,0.6122106007020052,0.6386825555888267,0.8197917616808487,0,0.0
CROSS_DOMAIN_ENGAGEMENT_SCORE,8713.0,,,,0.1409227573683308,0.303255955771689,0.0,0.0,0.0,0.0,1.0,0,0.0
REVENUE_SCORE_PROXY,8713.0,,,,17417.741235575893,555738.187632622,0.0006666666667,18.962999999999997,149.86512035690396,691.0853124999999,38188318.833522364,0,0.0
DEX_EVENTS_MEDIAN,8713.0,,,,29.0,0.0,29.0,29.0,29.0,29.0,29.0,0,0.0
CEX_EVENTS_MEDIAN,8713.0,,,,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0,0.0
BRIDGE_EVENTS_MEDIAN,8713.0,,,,29.0,0.0,29.0,29.0,29.0,29.0,29.0,0,0.0
DEFI_EVENTS_MEDIAN,8713.0,,,,12.0,0.0,12.0,12.0,12.0,12.0,12.0,0,0.0
DEX_EVENTS_SIGNED_DIST,8713.0,,,,26.020773556754275,33.51768107882764,-2282.0,29.0,29.0,29.0,29.0,0,0.0
CEX_EVENTS_SIGNED_DIST,8713.0,,,,1.7081372661540226,5.117700888242996,-273.0,2.0,2.0,2.0,2.0,0,0.0
BRIDGE_EVENTS_SIGNED_DIST,8713.0,,,,18.35257660966372,60.77302652919897,-3129.0,21.0,28.0,29.0,29.0,0,0.0
DEFI_EVENTS_SIGNED_DIST,8713.0,,,,11.433031102949615,6.940958319503632,-385.0,12.0,12.0,12.0,12.0,0,0.0
