dim_0,dim_1,cluster_label
1.1754946,-3.3680294,1
10.535918,5.5501585,0
11.28485,-4.3781247,3
9.48872,7.186354,8
-0.84510756,-2.4371254,1
10.317631,6.0428276,0
-2.6736686,4.91903,1
-0.03701344,3.489248,1
8.458993,-3.3525362,3
7.6935315,-3.3317266,3
-3.1695201,0.30958682,1
8.891397,7.5999637,8
1.1547444,-2.664225,1
9.844835,7.8617725,8
-1.9562516,0.3989468,1
9.634476,-2.9991348,3
-2.0969758,0.55512714,1
10.001472,-2.3994486,3
9.98069,9.578045,8
-1.3897561,-1.7963316,1
9.105749,-3.0972004,3
0.8577735,3.4022932,1
-2.6676075,1.7416779,1
11.380401,-1.5874752,3
2.7346485,0.19252028,1
-0.4968059,-2.8317416,1
-0.87515426,-0.81786805,1
9.792125,-4.063068,3
10.907335,0.0352714,3
-3.7612321,0.1750858,1
11.8032675,1.2256621,3
-1.5335697,-1.1783683,1
12.091628,-3.7674952,3
11.467114,-4.174104,3
9.52089,7.1685143,8
6.4054704,-0.24895926,3
-0.15575425,-3.4785645,1
8.061661,-2.385719,3
7.7835116,-2.0577166,3
0.99949265,2.244748,1
7.278054,-2.9435265,3
-0.54482293,1.6256226,1
1.2012835,-0.33288628,1
11.014595,-3.515788,3
-3.7427707,2.152355,1
-3.2949412,2.3724017,1
-3.058906,2.7322147,1
11.205807,-1.4482898,3
2.8802745,-0.05373836,1
14.182964,-2.06489,3
9.638391,-2.2148092,3
14.538236,-1.4082649,3
0.69768167,-0.6443282,1
10.569677,-1.9988189,3
10.491581,-1.9444937,3
12.397878,-0.4830809,3
14.691187,-0.31276408,3
7.823463,-3.0944927,3
10.945316,-0.9544873,3
12.403836,0.34430343,3
14.649697,0.16788891,3
11.828696,1.0234601,3
11.215145,0.19443187,3
5.2485623,5.8807497,6
3.1222637,0.53956395,1
7.596309,0.7627154,3
1.2396953,-0.6860121,1
12.81917,7.629129,0
5.157408,5.6764526,-1
8.662698,0.4319475,3
6.1153736,-0.55813,3
11.756388,6.1400146,0
12.8880005,6.483743,0
13.008349,7.5580482,0
13.79197,0.30506644,3
7.6532526,3.2181299,2
8.918582,7.6394625,8
-3.3858736,-0.15262896,1
-1.0396956,-1.052837,1
-3.7915058,-0.91009605,1
0.98027915,2.2392864,1
5.7301707,5.825655,6
12.68195,-4.3748612,3
-0.77137595,-1.6771687,1
9.037642,7.6710906,8
3.5180523,0.025137575,1
-3.2358644,3.0007079,1
-0.035782523,-3.0788975,1
-2.4690235,0.46169502,1
2.680709,-3.4594142,1
0.37640285,2.6288843,1
2.4350648,-2.0490034,1
-2.2072885,-0.7648054,1
12.228621,5.8511934,0
-2.2440846,5.242629,1
9.657027,-1.2081618,3
-1.9877591,1.9192114,1
11.736086,1.5377804,3
-1.2274461,1.1003633,1
