dim_0,dim_1,cluster_label
11.9384985,-2.155287,0
12.063182,-2.3543406,0
12.869787,0.8514098,0
3.4506624,-4.801197,1
6.9056916,-3.8796027,1
1.856309,-5.4173937,1
-4.452221,3.4590955,1
-4.198173,7.994549,1
5.687059,-4.5162582,1
9.354322,-0.7207197,0
1.4717019,-3.159956,1
1.3520315,-4.4334426,1
12.76253,7.529926,0
3.1547184,-3.24945,1
-1.8879789,2.0016847,1
11.274623,3.654957,0
-0.23449653,3.4244645,1
8.464051,0.31531218,0
-1.2176354,2.8747425,1
5.700797,-3.2474341,1
9.717769,1.8264394,0
-3.62392,8.891927,1
-1.2950535,1.590239,1
12.879822,12.333196,0
6.9147425,9.422229,0
15.46997,2.6991704,0
12.856121,6.6409416,0
11.608484,1.2851187,0
8.468562,12.48913,0
1.8262969,-5.458478,1
2.8338287,12.457128,1
16.155106,2.7777472,0
16.721363,0.14880301,0
12.832773,1.524592,0
3.2485063,-5.240641,1
2.4713223,1.6997309,1
10.30028,-1.403172,0
9.737525,1.7030939,0
8.469941,-0.5862157,0
0.44794613,-3.3337903,1
8.545623,0.27591133,0
8.51659,12.612766,0
8.301923,13.640934,0
13.121999,1.6645347,0
-2.5432892,-1.8824685,1
-3.7030513,-0.348044,1
-4.5543113,0.7382306,1
12.294703,10.880739,0
-3.600734,9.530533,1
14.214999,4.859012,0
12.912941,-2.1083791,0
12.935239,6.5086403,0
10.307803,12.937885,0
11.2727375,0.7362819,0
11.190206,0.8111668,0
13.026012,12.511163,0
9.602507,15.357308,0
10.308384,-1.3954853,0
13.242154,10.162042,0
7.939009,12.584736,0
11.21843,12.466724,0
6.9607596,13.905842,0
10.370872,10.120323,0
6.8859115,7.5380206,0
-1.8765529,7.728281,1
6.204377,7.8026867,0
8.301273,10.299894,0
1.1780084,11.890072,1
7.3829985,8.013283,0
6.81826,8.912649,0
4.8962684,1.1899729,1
3.611473,-3.23183,1
1.3241878,7.7436366,1
0.6125303,10.1933155,1
9.752138,15.598606,0
4.3758826,-5.3764358,1
1.3079972,-4.3198056,1
3.3380892,-5.210049,1
13.11545,5.960783,0
2.405353,-5.5483656,1
-0.081686646,-3.032178,1
6.120862,6.1586733,0
