dim_0,dim_1,dim_2,cluster_label
0.0,11.9384985,-2.155287,-1
1.0,12.063182,-2.3543406,-1
2.0,12.869787,0.8514098,-1
3.0,3.4506624,-4.801197,-1
4.0,6.9056916,-3.8796027,-1
5.0,1.856309,-5.4173937,-1
6.0,-4.452221,3.4590955,-1
7.0,-4.198173,7.994549,-1
8.0,5.687059,-4.5162582,-1
9.0,9.354322,-0.7207197,-1
10.0,1.4717019,-3.159956,-1
11.0,1.3520315,-4.4334426,-1
12.0,12.76253,7.529926,-1
13.0,3.1547184,-3.24945,0
14.0,-1.8879789,2.0016847,-1
15.0,11.274623,3.654957,0
16.0,-0.23449653,3.4244645,0
17.0,8.464051,0.31531218,0
18.0,-1.2176354,2.8747425,0
19.0,5.700797,-3.2474341,0
20.0,9.717769,1.8264394,0
21.0,-3.62392,8.891927,-1
22.0,-1.2950535,1.590239,0
23.0,12.879822,12.333196,-1
24.0,6.9147425,9.422229,0
25.0,15.46997,2.6991704,0
26.0,12.856121,6.6409416,0
27.0,11.608484,1.2851187,0
28.0,8.468562,12.48913,0
29.0,1.8262969,-5.458478,0
30.0,2.8338287,12.457128,0
31.0,16.155106,2.7777472,0
32.0,16.721363,0.14880301,0
33.0,12.832773,1.524592,0
34.0,3.2485063,-5.240641,0
35.0,2.4713223,1.6997309,0
36.0,10.30028,-1.403172,0
37.0,9.737525,1.7030939,0
38.0,8.469941,-0.5862157,0
39.0,0.44794613,-3.3337903,0
40.0,8.545623,0.27591133,0
41.0,8.51659,12.612766,0
42.0,8.301923,13.640934,0
43.0,13.121999,1.6645347,0
44.0,-2.5432892,-1.8824685,-1
45.0,-3.7030513,-0.348044,-1
46.0,-4.5543113,0.7382306,-1
47.0,12.294703,10.880739,0
48.0,-3.600734,9.530533,0
49.0,14.214999,4.859012,0
50.0,12.912941,-2.1083791,0
51.0,12.935239,6.5086403,0
52.0,10.307803,12.937885,0
53.0,11.2727375,0.7362819,0
54.0,11.190206,0.8111668,0
55.0,13.026012,12.511163,-1
56.0,9.602507,15.357308,-1
57.0,10.308384,-1.3954853,0
58.0,13.242154,10.162042,0
59.0,7.939009,12.584736,0
60.0,11.21843,12.466724,-1
61.0,6.9607596,13.905842,-1
62.0,10.370872,10.120323,0
63.0,6.8859115,7.5380206,0
64.0,-1.8765529,7.728281,0
65.0,6.204377,7.8026867,0
66.0,8.301273,10.299894,0
67.0,1.1780084,11.890072,0
68.0,7.3829985,8.013283,0
69.0,6.81826,8.912649,0
70.0,4.8962684,1.1899729,0
71.0,3.611473,-3.23183,0
72.0,1.3241878,7.7436366,0
