WALLET,TX_PER_MONTH,TOKEN_DIVERSITY,PROTOCOL_DIVERSITY,TOTAL_TRANSFER_USD,INTERACTION_DIVERSITY,ACTIVE_DURATION_DAYS,AVG_TRANSFER_USD,USD_TRANSFER_STDDEV,DEX_EVENTS,GAMES_EVENTS,CEX_EVENTS,DAPP_EVENTS,CHADMIN_EVENTS,DEFI_EVENTS,BRIDGE_EVENTS,NFT_EVENTS,TOKEN_EVENTS,FLOTSAM_EVENTS,BRIDGE_OUTFLOW_COUNT,BRIDGE_INFLOW_COUNT,BRIDGE_TOTAL_VOLUME_USD
0xecb113be97a619aa4d070491505847000f964448,8.166667,6,9,2840.47,5,177,41.166231884,88.74548085,5,0,0,0,0,0,1,0,28,0,1,0,499.88
0x76c1cf35f54c67bc4fec5ba1411f5c0825a4a50d,8.666667,2,8,3733.59,10,172,56.569545455,185.180715849,1,11,0,0,0,0,0,0,0,0,0,0,0
0x2465ba1d82c7faf5cfc1b4f0e3c606800e1caac9,13.000000,5,26,3771.93,14,169,62.8655,135.890911695,0,0,0,0,0,0,6,0,23,0,0,0,0
0xa5a1a2abcc2b67990b37b749c4e840f1fa093c97,6.833333,1,2,12977.28,2,170,370.779428571,318.130714168,0,0,0,0,0,0,0,0,35,0,0,0,0
0xa967e15e71455940dfab4c08719abae50401babd,7.500000,5,6,18935.76,6,156,236.697,478.737614306,5,0,0,0,0,0,10,0,25,0,9,0,1206.05
0x1198c8f481d4e63f24e3841a6961f1c71edbee14,6.500000,2,2,2178.62,1,172,55.862051282,95.915570196,0,0,0,0,0,0,0,0,12,0,0,0,0
0xdf2dcebdb3c9d2de6a9132708ccbd638acd89d35,3.333333,1,1,1260.98,1,52,63.049,47.538234812,0,0,0,0,0,0,20,0,0,0,20,0,1260.98
0x7ab5985280217f28ad075e821e1abd94c4a3f6a6,1.666667,1,2,160.04,2,36,20.005,18.37244336,0,0,0,0,0,0,8,0,0,0,8,0,160.04
0xb9942c8704b43a771a35849d5cdf0dd0384142ee,16.000000,5,5,245.76,5,179,11.702857143,13.047821253,2,89,0,0,0,0,0,5,0,0,0,0,0
0xd45cd23f26ce3b9a5220c01a8bfc70f6682246a7,12.333333,8,9,376.25,6,166,2.15,7.418300999,0,0,2,1,0,0,0,0,3,0,0,0,0
