WALLET,TX_PER_MONTH,TOKEN_DIVERSITY,PROTOCOL_DIVERSITY,TOTAL_TRANSFER_USD,INTERACTION_DIVERSITY,ACTIVE_DURATION_DAYS,AVG_TRANSFER_USD,USD_TRANSFER_STDDEV,DEX_EVENTS,GAMES_EVENTS,CEX_EVENTS,DAPP_EVENTS,CHADMIN_EVENTS,DEFI_EVENTS,BRIDGE_EVENTS,NFT_EVENTS,TOKEN_EVENTS,FLOTSAM_EVENTS,BRIDGE_OUTFLOW_COUNT,BRIDGE_INFLOW_COUNT,BRIDGE_TOTAL_VOLUME_USD,REVENUE_PROXY,ESTIMATED_TOTAL_VOLUME,TRADING_EVENTS_TOTAL,TOTAL_EVENTS,PROTOCOL_EXPERTISE,METHOD_SOPHISTICATION,TRADING_INTENSITY,WALLET_MATURITY_SCORE,ACTIVITY_VELOCITY,CROSS_CHAIN_INTENSITY,BRIDGE_EFFICIENCY,DOMAIN_BREADTH,IS_BRIDGE_USER,IS_ADVANCED_USER,IS_HIGH_FREQUENCY,IS_MULTI_DOMAIN,LOG_AVG_TRANSFER,LOG_TOTAL_VOLUME,LOG_BRIDGE_VOLUME
0xa5a1a2abcc2b67990b37b749c4e840f1fa093c97,6.833333,1,2,12977.28,2,170,370.779428571,318.130714168,0,0,0,0,0,0,0,0,35,0,0,0,0.0,1013.4637219901427,2533.659304975357,0,35,0.3529411764705882,0.29268294110648496,0.0,1.8971199848858813,0.20588235294117646,0.0,0.0,0,0,0,1,0,5.918300744469371,7.837814510533845,0.0
0xa967e15e71455940dfab4c08719abae50401babd,7.5,5,6,18935.76,6,156,236.697,478.737614306,5,0,0,0,0,0,10,0,25,0,9,0,1206.05,1425.8232500000001,1775.2275,5,40,1.1538461538461537,0.8,0.6666666666666666,1.824549292051046,0.2564102564102564,1.3333333333333333,120.60499999999999,2,1,1,1,0,5.470996753335725,7.482247012195262,7.095934645260251
0x1198c8f481d4e63f24e3841a6961f1c71edbee14,6.5,2,2,2178.62,1,172,55.862051282,95.915570196,0,0,0,0,0,0,0,0,12,0,0,0,0.0,145.2413333332,363.103333333,0,12,0.3488372093023256,0.15384615384615385,0.0,1.9070703157390494,0.06976744186046512,0.0,0.0,0,0,0,1,0,4.0406281815833855,5.897437710132615,0.0
0xdf2dcebdb3c9d2de6a9132708ccbd638acd89d35,3.333333,1,1,1260.98,1,52,63.049,47.538234812,0,0,0,0,0,0,20,0,0,0,20,0,1260.98,399.31032492680004,210.163312317,0,20,0.5769230769230769,0.30000003000000297,0.0,1.0055218656020977,0.38461538461538464,6.000000600000059,63.049,1,1,0,0,0,4.159648415418364,5.352631826122404,7.140437195115041
0x7ab5985280217f28ad075e821e1abd94c4a3f6a6,1.666667,1,2,160.04,2,36,20.005,18.37244336,0,0,0,0,0,0,8,0,0,0,8,0,160.04,53.346669334,33.341673334999996,0,8,1.6666666666666667,1.199999760000048,0.0,0.7884573603642702,0.2222222222222222,4.799999040000192,20.005,1,1,0,0,0,3.0447605046213453,3.5363595827329233,5.081652781331536
0xb9942c8704b43a771a35849d5cdf0dd0384142ee,16.0,5,5,245.76,5,179,11.702857143,13.047821253,2,89,0,0,0,0,0,5,0,0,0,0,0.0,83.0902857153,187.245714288,2,7,0.8379888268156425,0.3125,0.125,1.9411368703026557,0.03910614525139665,0.0,0.0,2,0,1,1,0,2.5418269400519287,5.237748100354451,0.0
0xf9aea2a59674d691390cdf99675b7810c5069c0c,4.666667,1,1,8644.62,1,153,308.736428571,354.05793721,0,0,0,0,0,0,28,0,0,0,28,0,8644.62,2737.4630411640574,1440.770102910143,0,28,0.19607843137254904,0.2142856989795929,0.0,1.8082887711792655,0.1830065359477124,5.999999571428601,308.7364285714286,1,1,0,1,0,5.735721705412177,7.273626875807464,9.064808113301725
0xc6fbfdea7dce28a2e334a99242141bfb074c43a5,8.166667,1,1,2340.82,1,179,47.771836735,102.309695227,0,0,0,0,0,0,0,0,49,0,0,0,0.0,156.05467303724492,390.13668259311225,0,49,0.16759776536312848,0.1224489745939194,0.0,1.9411368703026557,0.2737430167597765,0.0,0.0,0,0,0,1,0,3.8871530301774477,5.969057070748755,0.0
0xf6f99365ab35c0fea824639daf0d0f89d37bd8b5,14.666667,1,1,81953.17,1,170,931.286022727,609.530656982,0,0,0,0,0,0,0,0,88,0,0,0,0.0,5463.544790836537,13658.861977091341,0,88,0.1764705882352941,0.06818181663223144,0.0,1.8971199848858813,0.5176470588235295,0.0,0.0,0,0,0,1,0,6.837639658942059,9.522217028907653,0.0
0xe5ec43184e62f59b0677e0ae4b1ca41984a47dca,2.5,2,3,3090.81,4,96,162.674210526,254.432410285,0,0,0,0,0,0,13,0,0,0,12,0,3046.06,924.189210526,406.685526315,0,13,0.9375,1.6,0.0,1.4350845252893227,0.13541666666666666,5.2,234.31230769230768,1,1,0,0,0,5.097877930891053,6.010496108373356,8.02193247029167
