WALLET,TX_PER_MONTH,TOKEN_DIVERSITY,PROTOCOL_DIVERSITY,TOTAL_TRANSFER_USD,INTERACTION_DIVERSITY,ACTIVE_DURATION_DAYS,AVG_TRANSFER_USD,USD_TRANSFER_STDDEV,DEX_EVENTS,GAMES_EVENTS,CEX_EVENTS,DAPP_EVENTS,CHADMIN_EVENTS,DEFI_EVENTS,BRIDGE_EVENTS,NFT_EVENTS,TOKEN_EVENTS,FLOTSAM_EVENTS,BRIDGE_OUTFLOW_COUNT,BRIDGE_INFLOW_COUNT,BRIDGE_TOTAL_VOLUME_USD,cluster_label,DEX_EVENTS_MEDIAN,CEX_EVENTS_MEDIAN,BRIDGE_EVENTS_MEDIAN,DEFI_EVENTS_MEDIAN,DEX_EVENTS_ABS_DIST,CEX_EVENTS_ABS_DIST,BRIDGE_EVENTS_ABS_DIST,DEFI_EVENTS_ABS_DIST
0xa5a1a2abcc2b67990b37b749c4e840f1fa093c97,6.833333,1,2,12977.28,2,170,370.779428571,318.130714168,0,0,0,0,0,0,0,0,35,0,0,0,0.0,0,6.0,0.0,26.0,2.0,1.9459101490553132,0.0,3.295836866004329,1.0986122886681098
0xa967e15e71455940dfab4c08719abae50401babd,7.5,5,6,18935.76,6,156,236.697,478.737614306,5,0,0,0,0,0,10,0,25,0,9,0,1206.05,7,6.0,0.0,26.0,2.0,0.15415067982725827,0.0,0.8979415932059585,1.0986122886681098
0x1198c8f481d4e63f24e3841a6961f1c71edbee14,6.5,2,2,2178.62,1,172,55.862051282,95.915570196,0,0,0,0,0,0,0,0,12,0,0,0,0.0,0,6.0,0.0,26.0,2.0,1.9459101490553132,0.0,3.295836866004329,1.0986122886681098
0xdf2dcebdb3c9d2de6a9132708ccbd638acd89d35,3.333333,1,1,1260.98,1,52,63.049,47.538234812,0,0,0,0,0,0,20,0,0,0,20,0,1260.98,1,6.0,0.0,26.0,2.0,1.9459101490553132,0.0,0.2513144282809061,1.0986122886681098
0x7ab5985280217f28ad075e821e1abd94c4a3f6a6,1.666667,1,2,160.04,2,36,20.005,18.37244336,0,0,0,0,0,0,8,0,0,0,8,0,160.04,5,6.0,0.0,26.0,2.0,1.9459101490553132,0.0,1.0986122886681096,1.0986122886681098
0xb9942c8704b43a771a35849d5cdf0dd0384142ee,16.0,5,5,245.76,5,179,11.702857143,13.047821253,2,89,0,0,0,0,0,5,0,0,0,0,0.0,-1,6.0,0.0,26.0,2.0,0.8472978603872034,0.0,3.295836866004329,1.0986122886681098
0xf9aea2a59674d691390cdf99675b7810c5069c0c,4.666667,1,1,8644.62,1,153,308.736428571,354.05793721,0,0,0,0,0,0,28,0,0,0,28,0,8644.62,1,6.0,0.0,26.0,2.0,1.9459101490553132,0.0,-0.07145896398214502,1.0986122886681098
0xc6fbfdea7dce28a2e334a99242141bfb074c43a5,8.166667,1,1,2340.82,1,179,47.771836735,102.309695227,0,0,0,0,0,0,0,0,49,0,0,0,0.0,0,6.0,0.0,26.0,2.0,1.9459101490553132,0.0,3.295836866004329,1.0986122886681098
0xf6f99365ab35c0fea824639daf0d0f89d37bd8b5,14.666667,1,1,81953.17,1,170,931.286022727,609.530656982,0,0,0,0,0,0,0,0,88,0,0,0,0.0,0,6.0,0.0,26.0,2.0,1.9459101490553132,0.0,3.295836866004329,1.0986122886681098
0xe5ec43184e62f59b0677e0ae4b1ca41984a47dca,2.5,2,3,3090.81,4,96,162.674210526,254.432410285,0,0,0,0,0,0,13,0,0,0,12,0,3046.06,-1,6.0,0.0,26.0,2.0,1.9459101490553132,0.0,0.6567795363890707,1.0986122886681098
0x6fe41dfacf74cd80bfed579b0567c23e0d79ead9,4.5,1,1,89696.12,1,89,3322.078518519,2842.473685159,0,0,0,0,0,0,27,0,0,0,27,0,89696.12,1,6.0,0.0,26.0,2.0,1.9459101490553132,0.0,-0.03636764417087468,1.0986122886681098
0xfeb8f2d4b52d8af5a9b4834d5b4e2d0b2dc6538d,3.833333,1,1,15183.61,1,69,660.156956522,628.022951972,0,0,0,0,0,0,0,0,23,0,0,0,0.0,0,6.0,0.0,26.0,2.0,1.9459101490553132,0.0,3.295836866004329,1.0986122886681098
0x04dc1bdcb450ea6734f5001b9cecb0cd09690f4f,3.666667,4,5,104522.6,4,155,1608.04,1902.545994944,0,0,0,0,0,0,12,0,7,0,10,0,24702.48,7,6.0,0.0,26.0,2.0,1.9459101490553132,0.0,0.7308875085427924,1.0986122886681098
0xd4ba40be682a5156d9fa8af1a5989d39ff5699fc,2.166667,1,4,578.38,5,66,6.498651685,14.645200939,0,0,0,0,0,0,8,0,0,0,5,0,58.4,5,6.0,0.0,26.0,2.0,1.9459101490553132,0.0,1.0986122886681096,1.0986122886681098
0xfd4cd20c313d956e84b5b8f067197e8f9873c41e,6.666667,1,1,8722.78,1,89,218.0695,123.307647187,0,0,0,0,0,0,40,0,0,0,40,0,8722.78,1,6.0,0.0,26.0,2.0,1.9459101490553132,0.0,-0.4177352006999788,1.0986122886681098
