WALLET,TX_PER_MONTH,TOKEN_DIVERSITY,PROTOCOL_DIVERSITY,TOTAL_TRANSFER_USD,INTERACTION_DIVERSITY,ACTIVE_DURATION_DAYS,AVG_TRANSFER_USD,USD_TRANSFER_STDDEV,DEX_EVENTS,GAMES_EVENTS,CEX_EVENTS,DAPP_EVENTS,CHADMIN_EVENTS,DEFI_EVENTS,BRIDGE_EVENTS,NFT_EVENTS,TOKEN_EVENTS,FLOTSAM_EVENTS,BRIDGE_OUTFLOW_COUNT,BRIDGE_INFLOW_COUNT,BRIDGE_TOTAL_VOLUME_USD,cluster_label,DEX_EVENTS_MEDIAN,CEX_EVENTS_MEDIAN,BRIDGE_EVENTS_MEDIAN,DEFI_EVENTS_MEDIAN,DEX_EVENTS_WEIGHTED_DIST,CEX_EVENTS_WEIGHTED_DIST,BRIDGE_EVENTS_WEIGHTED_DIST,DEFI_EVENTS_WEIGHTED_DIST
0xecb113be97a619aa4d070491505847000f964448,8.166667,6,9,2840.47,5,177,41.166231884,88.74548085,5,0,0,0,0,0,1,0,28,0,1,0,499.88,5,28.0,2.0,19.0,13.0,0.6845238095238095,0.0,0.15789473684210525,0.0
0x76c1cf35f54c67bc4fec5ba1411f5c0825a4a50d,8.666667,2,8,3733.59,10,172,56.569545455,185.180715849,1,11,0,0,0,0,0,0,0,0,0,0,0.0,-1,28.0,2.0,19.0,13.0,0.9642857142857143,0.0,0.0,0.0
0x2465ba1d82c7faf5cfc1b4f0e3c606800e1caac9,13.0,5,26,3771.93,14,169,62.8655,135.890911695,0,0,0,0,0,0,6,0,23,0,0,0,0.0,-1,28.0,2.0,19.0,13.0,0.0,0.0,0.6842105263157895,0.0
0xd45cd23f26ce3b9a5220c01a8bfc70f6682246a7,12.333333,8,9,376.25,6,166,2.15,7.418300999,0,0,2,1,0,0,0,0,3,0,0,0,0.0,3,28.0,2.0,19.0,13.0,0.0,0.0,0.0,0.0
0x34d544e22ce75a1dca10b17d806b0080a6c0760f,10.5,6,18,5052.61,14,111,52.088762887,65.515515629,0,0,1,2,0,25,10,1,1,0,6,0,310.72,7,28.0,2.0,19.0,13.0,0.0,0.013888888888888888,0.13157894736842105,-0.6410256410256411
0x59a8ecb0d85d680b16ce9884806e611c139d6281,5.666667,7,18,979.21,14,119,17.803818182,20.568419879,0,0,0,0,0,2,9,0,2,0,4,0,0.04,10,28.0,2.0,19.0,13.0,0.0,0.0,0.430622009569378,0.15384615384615385
0x07f593bf5d99612e3c18b868012b8159e16063b8,5.666667,2,11,80.23,11,174,40.115,39.965,0,0,0,0,0,0,2,0,0,0,1,0,0.15,-1,28.0,2.0,19.0,13.0,0.0,0.0,0.8947368421052632,0.0
0xeb35fa787ff0c928dde0bd6b1c4d15e776513538,3.833333,6,9,815.01,4,123,16.632857143,27.127774832,7,0,2,0,0,0,0,0,5,0,0,0,0.0,7,28.0,2.0,19.0,13.0,0.5833333333333334,0.0,0.0,0.0
0xcc56c2ca833d55efb590916b1d3c4a20070918bd,2.833333,11,9,3948.96,6,87,68.085517241,75.20251647,0,0,0,0,0,0,4,0,0,0,0,0,0.0,4,28.0,2.0,19.0,13.0,0.0,0.0,0.7894736842105263,0.0
0x5888913432ae64daeac7f4d50241ecd34cbe3ca0,4.166667,3,9,190.96,6,67,14.689230769,14.120756932,0,0,0,0,0,0,11,0,1,0,5,0,32.98,2,28.0,2.0,19.0,13.0,0.0,0.0,0.42105263157894735,0.0
0xcd365d1c4a30d1004c0e0677597fce1194411a55,15.5,5,16,97585.43,8,149,712.302408759,727.278913522,0,0,0,0,0,0,10,0,15,0,3,0,67.95,3,28.0,2.0,19.0,13.0,0.0,0.0,0.47368421052631576,0.0
0x7d5ff44162252d11e5ab0fcc1d50e3aebd832166,9.0,3,8,90884.81,5,80,1377.042575758,1796.111302306,0,0,0,0,0,0,23,0,1,0,8,0,5790.87,2,28.0,2.0,19.0,13.0,0.0,0.0,-0.21052631578947367,0.0
0x534cf7114d466887cc2f43923993a1256838b1d3,6.0,5,16,1220.49,9,144,32.986216216,27.136393769,0,0,0,0,0,0,3,0,12,0,0,0,0.0,-1,28.0,2.0,19.0,13.0,0.0,0.0,0.8421052631578947,0.0
0x77a3bbe41f2db0fb73327b86eea0d568cfb2b83e,5.833333,9,13,1463.93,13,40,22.522,19.830028217,0,0,0,5,0,0,9,0,0,0,0,0,0.0,5,28.0,2.0,19.0,13.0,0.0,0.0,0.5263157894736842,0.0
0x73a46b6088421539fe8a359700bfce4f464587f0,1.833333,2,7,2586.18,8,111,287.353333333,259.015485337,0,0,0,0,0,0,2,0,0,0,2,0,628.0,-1,28.0,2.0,19.0,13.0,0.0,0.0,0.8947368421052632,0.0
