WALLET,TX_PER_MONTH,TOKEN_DIVERSITY,PROTOCOL_DIVERSITY,TOTAL_TRANSFER_USD,INTERACTION_DIVERSITY,ACTIVE_DURATION_DAYS,AVG_TRANSFER_USD,USD_TRANSFER_STDDEV,DEX_EVENTS,GAMES_EVENTS,CEX_EVENTS,DAPP_EVENTS,CHADMIN_EVENTS,DEFI_EVENTS,BRIDGE_EVENTS,NFT_EVENTS,TOKEN_EVENTS,FLOTSAM_EVENTS,BRIDGE_OUTFLOW_COUNT,BRIDGE_INFLOW_COUNT,BRIDGE_TOTAL_VOLUME_USD,REVENUE_SCORE_PROXY,REVENUE_PROXY_TRANSACTION_COMPONENT,REVENUE_PROXY_DEX_DEFI_COMPONENT,REVENUE_PROXY_BRIDGE_COMPONENT
0xecb113be97a619aa4d070491505847000f964448,8.166667,6,9,2840.47,5,177,41.166231884,88.74548085,5,0,0,0,0,0,1,0,28,0,1,0,499.88,331.4872687735642,336.1909074414106,205.83115942,499.88
0x76c1cf35f54c67bc4fec5ba1411f5c0825a4a50d,8.666667,2,8,3733.59,10,172,56.569545455,185.180715849,1,11,0,0,0,0,0,0,0,0,0,0,0.0,215.90710602918938,490.26941279984845,56.569545455,0.0
0x2465ba1d82c7faf5cfc1b4f0e3c606800e1caac9,13.0,5,26,3771.93,14,169,62.8655,135.890911695,0,0,0,0,0,0,6,0,23,0,0,0,0.0,326.9006,817.2515,0.0,0.0
0xa5a1a2abcc2b67990b37b749c4e840f1fa093c97,6.833333,1,2,12977.28,2,170,370.779428571,318.130714168,0,0,0,0,0,0,0,0,35,0,0,0,0.0,1013.4637219901429,2533.659304975357,0.0,0.0
0xa967e15e71455940dfab4c08719abae50401babd,7.5,5,6,18935.76,6,156,236.697,478.737614306,5,0,0,0,0,0,10,0,25,0,9,0,1206.05,1425.8232500000001,1775.2275,1183.4850000000001,1206.05
0x1198c8f481d4e63f24e3841a6961f1c71edbee14,6.5,2,2,2178.62,1,172,55.862051282,95.915570196,0,0,0,0,0,0,0,0,12,0,0,0,0.0,145.2413333332,363.103333333,0.0,0.0
0xdf2dcebdb3c9d2de6a9132708ccbd638acd89d35,3.333333,1,1,1260.98,1,52,63.049,47.538234812,0,0,0,0,0,0,20,0,0,0,20,0,1260.98,399.31032492680004,210.163312317,0.0,1260.98
0x7ab5985280217f28ad075e821e1abd94c4a3f6a6,1.666667,1,2,160.04,2,36,20.005,18.37244336,0,0,0,0,0,0,8,0,0,0,8,0,160.04,53.346669334,33.341673334999996,0.0,160.04
0xb9942c8704b43a771a35849d5cdf0dd0384142ee,16.0,5,5,245.76,5,179,11.702857143,13.047821253,2,89,0,0,0,0,0,5,0,0,0,0,0.0,83.0902857153,187.245714288,23.405714286,0.0
0xd45cd23f26ce3b9a5220c01a8bfc70f6682246a7,12.333333,8,9,376.25,6,166,2.15,7.418300999,0,0,2,1,0,0,0,0,3,0,0,0,0.0,10.60666638,26.516665949999997,0.0,0.0
0xf9aea2a59674d691390cdf99675b7810c5069c0c,4.666667,1,1,8644.62,1,153,308.736428571,354.05793721,0,0,0,0,0,0,28,0,0,0,28,0,8644.62,2737.4630411640574,1440.770102910143,0.0,8644.62
0xc6fbfdea7dce28a2e334a99242141bfb074c43a5,8.166667,1,1,2340.82,1,179,47.771836735,102.309695227,0,0,0,0,0,0,0,0,49,0,0,0,0.0,156.05467303724492,390.13668259311225,0.0,0.0
0x34d544e22ce75a1dca10b17d806b0080a6c0760f,10.5,6,18,5052.61,14,111,52.088762887,65.515515629,0,0,1,2,0,25,10,1,1,0,6,0,310.72,752.2294793866499,546.9320103135,1302.219072175,310.72
0xf6f99365ab35c0fea824639daf0d0f89d37bd8b5,14.666667,1,1,81953.17,1,170,931.286022727,609.530656982,0,0,0,0,0,0,0,0,88,0,0,0,0.0,5463.544790836537,13658.861977091341,0.0,0.0
0xe5ec43184e62f59b0677e0ae4b1ca41984a47dca,2.5,2,3,3090.81,4,96,162.674210526,254.432410285,0,0,0,0,0,0,13,0,0,0,12,0,3046.06,924.189210526,406.685526315,0.0,3046.06
