,UMAP_1,UMAP_2,UMAP_3,UMAP_4,UMAP_5,UMAP_6,UMAP_7,UMAP_8,UMAP_9,UMAP_10,UMAP_11,UMAP_12,UMAP_13,UMAP_14,UMAP_15
0,10.019143,4.3972197,2.4789271,1.5536623,6.664781,5.044905,9.103679,6.921786,3.2066782,6.434178,3.4643483,8.484524,6.9767103,6.041785,7.1327224
1,10.083566,7.7017665,2.3432405,2.7466288,11.4744835,1.2154632,8.316605,4.4202657,9.551432,6.4852734,3.99022,7.2112937,7.0405855,4.6086407,6.5083046
2,9.944613,7.0510397,2.3821967,3.0082102,6.7968144,6.499941,9.037065,5.6682014,4.6141143,6.2896814,3.5754068,7.802837,6.782936,4.5247707,6.1789045
3,9.830641,7.6688876,2.3652234,4.3254294,7.7785406,8.956872,9.316171,6.532608,5.7375355,6.335511,3.9012997,7.1052475,6.8698454,4.5922537,6.245144
4,10.124731,7.1536527,2.0634005,-1.450284,5.216747,3.4759748,9.233054,8.544823,3.942457,6.705629,4.335205,7.7737412,7.1305304,6.9045477,7.86295
5,9.813169,7.7720375,2.3749044,4.624568,7.9846725,9.351828,9.377371,6.6163716,5.87985,6.3251557,3.9758008,7.0804734,6.885172,4.5575027,6.2527575
6,10.043667,-0.12692256,3.0103674,1.8606007,5.903809,4.8723135,8.984232,5.8505526,3.7941,6.361855,3.3484313,7.965274,6.937468,5.15786,6.4655557
7,10.024547,2.2944589,2.8883753,2.499283,5.9139814,4.968645,8.747808,4.994056,3.2042258,6.168589,2.5914638,8.285925,6.761895,4.7229295,5.7014227
8,10.080618,7.7389884,2.1632483,2.625213,11.648919,1.1497006,8.311864,4.921519,8.987724,6.5172443,3.9492917,7.090927,6.9189568,4.726625,6.3781953
9,9.971446,7.271482,2.0850964,0.61601835,9.19337,2.4675715,8.969798,9.15205,1.009454,6.923197,5.6977077,5.0304103,6.4489555,4.037329,6.793672
10,10.012865,0.88387585,2.89027,1.7730557,6.273337,4.797456,8.945997,6.189476,3.2225044,6.3740287,3.1093876,8.943664,6.992248,5.7616887,6.8108187
11,9.829254,7.7254806,2.377283,4.604307,7.9753776,9.274301,9.325166,6.5896707,5.8365126,6.33518,3.8903115,7.085599,6.8705244,4.5483694,6.175618
12,9.990908,7.263937,2.0890353,0.510381,8.832671,2.5050764,9.003511,8.937698,1.5244386,6.916198,5.497766,5.332093,6.2203875,4.4019523,6.9076257
13,9.821514,7.8155394,2.3714747,4.578468,8.0865755,9.3651,9.375882,6.7930517,5.914353,6.343217,3.996395,7.1178517,6.859618,4.6464996,6.331073
14,10.031975,2.3964822,2.772579,1.9309207,6.1996217,4.814613,8.888615,5.9471526,3.1772108,6.3057137,2.9944036,8.521631,6.8924003,5.446593,6.467906
15,9.993072,6.8439484,2.356956,2.5301547,6.6535625,5.6001086,8.88337,5.601959,4.2145286,6.262848,3.2829492,8.237382,6.7064943,4.5751905,6.0458794
16,10.037003,1.5205909,2.8202994,1.6962004,6.1825314,4.7960925,8.990632,6.268117,3.2438686,6.3575053,3.2086082,8.486012,6.9839106,5.7350597,6.8047824
17,9.975091,6.4104195,2.5293472,2.958534,6.553147,5.5624943,8.722098,4.8875427,3.8743715,6.1862063,3.1263437,8.502254,6.601923,4.0970397,5.7098823
18,9.719885,7.624528,2.3390727,4.5878687,7.862032,9.903501,9.421653,6.7901573,6.2028565,6.403104,3.8852808,6.4578185,6.995015,4.762742,6.1505966
19,10.032221,3.7664871,2.574902,1.6512921,6.5144105,4.792011,8.948144,6.542205,3.0653281,6.380978,3.211343,8.644797,6.907475,5.8032217,6.831013
20,9.874581,7.2576714,2.0275698,0.68548405,9.490748,2.8902242,8.901849,9.416919,0.26613745,6.8349447,5.923727,4.861675,8.291208,2.9847927,6.5080667
21,10.012962,2.8721125,2.8349621,2.557634,6.0311756,5.018857,8.726462,4.9965825,3.2735345,6.1807194,2.6212804,8.382933,6.746535,4.6642113,5.7002344
22,10.036037,0.4616251,2.9351687,1.7712018,6.0662255,4.8329678,8.988354,6.0801563,3.517283,6.3695745,3.2750955,8.343968,6.976997,5.5012136,6.688018
23,9.951087,6.591713,2.5413406,3.0650613,6.220891,5.8619943,8.800425,4.785595,4.1235757,6.1889076,3.1644034,7.7789845,6.711929,4.1632924,5.743932
24,10.012965,4.464626,2.6339056,2.510982,6.2076435,5.0711737,8.701756,5.267122,3.4119322,6.1940064,2.6523075,8.286196,6.7391624,4.770165,5.771517
25,10.024855,4.608001,2.467807,1.6082431,6.64373,4.970341,9.033616,6.770679,3.1698742,6.4082856,3.37271,8.504425,6.9186873,5.8873496,6.9739547
26,10.034425,3.3645842,2.652282,1.8282342,6.3331633,4.7859216,8.892197,6.1653132,3.1087186,6.3267417,3.0488753,8.555303,6.8783393,5.5563493,6.564782
27,9.943132,7.060312,2.3894587,3.0671136,6.771875,6.5036726,9.004584,5.5890074,4.632926,6.273273,3.4946709,7.76874,6.7710023,4.468286,6.081377
28,10.014479,7.325264,2.0859113,0.61101216,9.122003,2.3050582,8.971922,9.063643,1.3067625,6.9435034,5.6514206,5.0334964,5.708949,4.386468,6.8996873
29,10.009304,1.4398791,2.8947885,2.1127865,6.271431,4.84617,8.821885,5.719922,3.1969452,6.3131185,2.8520503,9.023659,6.881786,5.3290086,6.346202
30,9.93608,6.2703753,2.6177485,3.1823215,5.8789454,5.866519,8.773974,4.512627,4.104459,6.138124,2.8102574,7.2804327,6.757904,4.149302,5.5057025
31,10.034604,3.679268,2.6439023,1.9321098,6.393171,4.74928,8.81505,6.0478163,3.0956573,6.3098564,2.974361,8.689645,6.8151426,5.4136057,6.4375477
32,9.960486,6.875959,2.411993,2.8077679,6.6690364,6.105998,8.999588,5.536132,4.326513,6.2866883,3.5904164,8.046493,6.7514143,4.49358,6.227161
33,9.957853,6.9834895,2.3742082,2.8776917,6.7913275,6.263853,9.000429,5.6822796,4.5138927,6.2886057,3.5201008,7.9200892,6.7644415,4.5551624,6.1712413
34,9.819743,7.692523,2.3603861,4.3314896,7.803083,9.036761,9.3412895,6.596908,5.789412,6.3428273,3.9368312,7.073971,6.8753176,4.6272106,6.2847824
35,9.997859,6.223866,2.4788573,2.6335669,5.7553005,5.1010485,8.211548,4.972244,3.9856892,6.1644874,2.54406,7.9852586,6.6296945,4.301831,5.2876716
36,9.880071,6.8925614,2.0874083,0.67120206,9.403562,2.9246273,8.957687,9.383085,0.095653646,6.7980776,5.774102,5.082836,8.4388485,3.0665772,6.4735646
37,9.861942,7.1772246,2.0614529,0.72906476,9.555348,2.8779178,8.913554,9.430009,0.15036692,6.8389316,5.9096284,4.870045,8.299945,2.9822595,6.4670315
38,10.030196,8.980835,1.973086,-1.9580915,2.0906558,5.0810328,9.653329,6.1767335,8.054004,6.743497,4.630952,6.06446,7.067916,4.0795608,6.4544396
39,10.012848,1.0224309,2.9699242,2.309767,6.22596,4.9063187,8.801059,5.4147277,3.247124,6.2998586,2.743626,9.160057,6.857254,5.116125,6.1228433
40,9.96852,7.283587,2.087928,0.6210089,9.203318,2.44208,8.961394,9.139405,1.0370177,6.920296,5.6874223,5.03003,6.387316,4.0575614,6.7928767
41,10.02435,2.8268304,2.7667322,2.1823564,6.185752,4.878893,8.799866,5.602996,3.217998,6.2599998,2.8291419,8.517921,6.8197975,5.132655,6.148146
42,10.021905,3.6518233,2.593851,1.6939756,6.3720045,5.013245,9.046921,6.5186424,3.2104106,6.3692775,3.2632,8.320371,6.9753113,5.8423367,6.876694
43,9.948498,7.0179954,2.3854833,2.9904191,6.7746058,6.4178696,9.007794,5.6305623,4.576148,6.2810316,3.5157926,7.8305507,6.77107,4.5065923,6.128464
44,10.006357,-0.80866617,3.066618,1.7397048,6.0952244,4.8489933,8.994286,6.086156,3.619892,6.4228487,3.2707794,8.908786,7.049941,5.700531,6.900974
45,10.025493,-0.83731556,3.060443,1.6422112,6.0304747,4.834869,9.040179,6.202501,3.6886208,6.429698,3.4017582,8.608624,7.0640216,5.72757,6.9803185
46,10.04228,-1.0333462,3.0717,1.5861448,5.9551454,4.8311534,9.075944,6.2467713,3.799978,6.436982,3.5146663,8.355306,7.0689497,5.685883,7.003237
47,9.949525,6.62258,2.545422,3.1049263,6.201718,5.862273,8.78181,4.7172227,4.1420145,6.179227,3.1328824,7.7745,6.700033,4.0990524,5.6872997
48,9.978178,5.0415916,2.6773849,2.943572,5.750255,5.3330445,8.711079,4.693312,3.6057656,6.125399,2.4543765,7.395818,6.7906785,4.501288,5.5484276
49,9.935061,8.981671,2.0541987,-0.69115376,2.7596023,5.8759823,9.621903,6.077578,7.639874,6.724165,5.234497,5.6326256,7.108808,4.22193,6.79873
50,10.030919,8.822871,1.9272412,-1.8542296,2.1356876,4.823948,9.273734,6.6147475,8.371639,6.763065,4.5966015,5.7141633,6.9565153,4.3868594,6.340975
51,9.929289,8.970446,2.0807443,-0.4256197,2.828843,6.0310483,9.660013,5.830322,7.473552,6.676161,5.149912,5.581997,7.1286373,4.1397867,6.7060223
52,10.099487,6.7437644,2.0951793,-1.5399122,4.831211,3.729822,9.426822,8.463809,3.3042033,6.691004,3.9703104,7.9463153,7.2117357,7.2923717,8.165538
53,9.999963,8.925483,2.0637171,-1.2526209,2.4992263,5.497574,9.707634,5.677442,7.677413,6.6613526,4.676733,6.196506,7.062825,3.8060815,6.4296627
54,9.998023,8.919354,2.0713499,-1.1865189,2.5189404,5.5236883,9.697426,5.6282773,7.672801,6.6517067,4.6621776,6.190519,7.055925,3.7743049,6.39773
55,9.973879,8.910755,2.0094786,-0.76673687,2.4560866,5.705839,9.630515,5.8971934,7.479784,6.627823,4.684179,5.222605,7.175973,4.403583,6.425255
56,9.919826,8.9305315,2.1369138,0.0035557477,3.004513,6.257901,9.704503,5.426956,7.214211,6.6041403,5.0304623,5.636945,7.134975,3.9451096,6.5671268
57,10.039924,8.776039,1.9441199,-1.739936,2.163068,4.816055,9.256107,6.439244,8.289614,6.717248,4.42586,5.7413855,6.941302,4.309155,6.1919394
58,10.000125,8.861591,2.0071814,-1.000853,2.3693295,5.4724183,9.558008,5.8619027,7.6281624,6.616486,4.477567,5.4274063,7.112035,4.2726507,6.252875
59,9.958436,8.821054,2.1146772,-0.13591333,2.8372638,6.0321007,9.700968,5.3054433,7.048267,6.530551,4.5554223,5.5167394,7.1599584,4.0443377,6.279704
60,9.93285,8.921923,2.0597165,-0.27110514,2.7645314,6.0535192,9.634552,5.7966547,7.3473063,6.632533,4.9687467,5.233435,7.1728544,4.323173,6.572242
61,9.964522,8.801874,2.1088953,-0.1129639,2.7638912,5.99985,9.6482525,5.2273974,7.1333556,6.5109453,4.434932,5.4425406,7.1419024,3.9999483,6.131557
62,9.983815,8.880269,2.075742,-0.7010393,2.5788722,5.7327857,9.669872,5.4802337,7.4379063,6.586577,4.548798,5.732024,7.1099014,3.9468474,6.2693925
63,9.942618,5.424731,2.791319,3.442654,6.1738935,5.5985007,8.593045,3.9407268,3.6353056,6.0645695,2.574525,8.404626,6.5387063,3.5690315,4.9984503
64,9.978673,5.507312,2.624472,3.001034,5.9648523,5.4429793,8.617063,4.6139183,3.797856,6.1144447,2.493179,7.788191,6.6886344,4.2284856,5.304041
65,9.972858,6.1735954,2.5741699,3.1808236,6.001106,5.593703,8.582803,4.419394,4.0062084,6.0818524,2.4129345,7.7254143,6.642442,3.9824333,5.0753365
66,10.02582,3.8476999,2.6462348,2.063214,6.2518234,4.934893,8.86515,5.8598914,3.2118108,6.2798057,2.9539237,8.3577,6.8439207,5.3108406,6.3389144
67,9.791158,7.7422266,3.0614018,4.0463367,5.6798096,6.478057,9.034859,2.5126173,3.6391633,6.2036176,4.968964,7.4473796,6.7424827,3.1501462,6.1895223
68,9.941141,6.0142007,2.7062285,3.396285,6.090873,5.634162,8.517543,4.0818205,3.803642,6.0790534,2.6328063,8.140247,6.5668387,3.650962,5.055997
69,9.948029,6.498561,2.531461,3.1548648,6.1495357,5.9831185,8.769757,4.7891474,4.2740173,6.1591773,2.8584502,7.513334,6.734541,4.193564,5.496863
70,10.017336,7.4067044,2.0870283,0.6898834,9.374946,2.0924327,8.878475,9.079301,1.2322932,6.8833594,5.6901693,4.820901,5.1135035,4.4405823,6.8754945
71,9.912007,8.861359,2.2844234,0.45265138,3.295181,6.415015,9.721001,4.5927444,7.0224833,6.5063486,4.895637,6.394626,7.016603,3.161552,6.3124776
72,9.897799,8.8834,2.2976086,0.5726166,3.3459756,6.510796,9.731326,4.603607,6.9683404,6.4944673,4.9709544,6.2896748,7.0289216,3.2324276,6.3612494
73,9.902108,8.856073,2.3220263,0.62590235,3.3623464,6.519944,9.718317,4.437624,6.96482,6.483542,4.8874025,6.4194145,7.0029263,3.071265,6.26937
74,9.912695,8.820147,2.1826494,0.3431262,3.2525544,6.357014,9.69834,5.2999697,6.8958707,6.5584803,4.9524174,5.6883235,7.13501,3.9664862,6.5387197
75,9.936926,6.675117,2.6980557,3.1541095,5.203431,5.9506435,8.7587595,3.4930046,4.5189276,6.072837,2.6177683,7.524776,6.614856,3.074294,4.6814675
76,10.05928,7.222828,2.0878987,0.5274936,8.895655,2.4105778,9.095191,9.218906,1.104028,7.032056,5.758974,4.9850497,5.7210603,4.5354686,7.011057
77,10.011168,1.5294296,2.8706338,2.0307207,6.29954,4.822542,8.839589,5.845724,3.170023,6.323807,2.8986123,9.010739,6.897505,5.431562,6.44585
78,10.028032,3.2339716,2.6220455,1.6146832,6.453668,4.8499866,9.001915,6.5922165,3.08505,6.3888507,3.255356,8.577785,6.9646215,5.909115,6.930565
79,10.018176,2.4770246,2.66311,1.4391142,6.6575813,5.0271764,9.15087,7.1048756,2.9661672,6.484858,3.483304,8.772083,7.143062,6.450379,7.4183702
80,10.014458,0.98252267,2.9749675,2.324217,6.2387557,4.907606,8.799524,5.402566,3.2331016,6.2999606,2.727845,9.216069,6.8561144,5.1158323,6.1124454
81,10.132046,7.709717,2.2820184,2.99414,11.044009,1.7161719,8.243339,4.5906396,8.266605,6.4003644,3.5577803,7.1870284,6.739493,4.5455008,6.073828
82,9.905795,7.7199554,2.5330515,3.5302258,6.534733,6.525903,9.040058,4.378506,4.4372625,6.2458463,4.336836,8.221538,6.6223984,3.3524618,6.27412
83,10.033526,3.7623572,2.6226192,1.9220045,6.383436,4.77629,8.8328285,6.06007,3.1153266,6.3129797,2.9851696,8.61653,6.8300123,5.4275618,6.4395723
84,9.827082,7.750371,2.3748183,4.5952287,7.9980774,9.286934,9.340392,6.639983,5.853453,6.3374114,3.9245949,7.1020722,6.8672214,4.5739245,6.221627
85,9.859726,7.087606,2.1195452,0.66767156,9.605968,2.7206862,8.911017,9.465677,-0.0048803566,6.8657193,5.8984857,4.907632,8.246889,3.017884,6.431349
86,10.032904,0.06593548,2.996903,1.9242866,5.965986,4.8739085,8.951214,5.788323,3.694991,6.3533263,3.2423193,8.155043,6.9308953,5.166175,6.4219317
87,10.115513,7.2052555,2.0436978,-1.6076247,5.068055,3.4762406,9.313068,8.6136875,3.8092144,6.712832,4.31034,7.798727,7.1627407,7.013112,7.9990644
88,10.030311,1.7325256,2.8245332,1.833971,6.1967416,4.7958207,8.927231,6.0737743,3.2025623,6.3317146,3.0707324,8.604744,6.939525,5.587076,6.628022
89,10.023199,4.7718387,2.462409,1.7275342,6.642499,4.996173,8.990586,6.608276,3.2285,6.3861823,3.3091428,8.518898,6.884489,5.735372,6.8346624
90,10.019469,0.45905477,2.994413,2.1938121,6.0873766,4.8893538,8.834818,5.5256577,3.461099,6.325108,2.9211614,8.737426,6.858404,5.088619,6.2080874
91,10.021822,4.5444245,2.582585,2.2318273,6.381062,4.9528637,8.762881,5.700399,3.3032305,6.260281,2.87287,8.49777,6.764392,5.069614,6.1252065
92,9.882982,6.7128596,2.069402,0.73406625,9.333679,3.1565957,9.002049,9.386907,0.03398295,6.754383,5.70853,5.1686287,8.766936,2.9791498,6.444662
93,9.914662,7.3059883,2.390027,3.2157223,6.7919536,6.9618487,9.117061,5.6233993,4.894753,6.3012953,3.752591,7.5553355,6.813705,4.4031196,6.199847
94,10.043527,-0.13811141,3.0127048,1.8724321,5.8988624,4.875408,8.981331,5.8301735,3.8032944,6.360756,3.3437724,7.9569683,6.933201,5.13493,6.4458385
95,9.995447,8.539056,1.9737728,-0.9336861,2.825064,5.1360483,9.254946,6.693409,7.412791,6.6867514,4.6017666,5.4315195,7.0432386,4.894828,6.5158715
96,10.072918,-0.22682098,2.9777095,1.5495529,5.912613,4.8021193,9.101678,6.3136115,3.7217274,6.4029555,3.5678406,7.913584,7.0377507,5.6221895,6.9269357
97,9.912537,7.037153,2.4452207,3.343552,6.4732976,6.7928705,8.97588,5.2292995,4.7914443,6.2231126,3.2146418,7.2905173,6.806641,4.29492,5.7163076
98,10.024428,2.3256156,2.6987584,1.557105,6.4157343,4.9209642,9.068466,6.713412,3.1203668,6.4139767,3.3541467,8.548582,7.050058,6.084791,7.1073956
99,10.033343,-0.15834273,3.0284388,2.0120974,5.9031906,4.9023666,8.931017,5.622661,3.8100646,6.3463087,3.2369137,8.043037,6.8943973,4.9646873,6.2659197
100,9.993104,8.542522,1.9830186,-0.8369524,2.8329885,5.198658,9.267403,6.589233,7.3797646,6.6689353,4.567041,5.4051323,7.049369,4.8501277,6.4696145
101,10.096427,7.1762724,2.0529313,-1.7983727,4.511939,3.7525713,9.455436,8.422208,3.702845,6.694266,4.055614,7.75338,7.2257333,7.15693,8.09807
102,9.998127,7.399206,2.0713437,0.59865266,9.154065,2.2485936,8.955564,8.959666,1.535811,6.9401836,5.578306,5.115885,5.739319,4.409141,6.902672
103,9.698561,7.612167,2.3292086,4.6053834,7.8690796,10.07272,9.449151,6.8504567,6.2955103,6.415405,3.895201,6.327666,7.018703,4.8142285,6.1504693
104,9.858527,7.1354136,2.1127088,0.66572094,9.631886,2.7091181,8.899317,9.487294,-0.012412718,6.8752213,5.9321103,4.8644857,8.2472925,2.9851372,6.4242907
105,10.031284,7.249548,2.087521,0.5752574,9.008705,2.3436327,9.028335,9.13135,1.216919,6.9878764,5.6787443,5.045805,5.7683563,4.4641805,6.95002
106,10.101763,6.6209626,2.110336,-1.4323219,4.944308,3.723568,9.401345,8.4507265,3.2195208,6.6862555,3.9492853,7.9946685,7.1982603,7.2872024,8.145404
107,10.012551,7.3405347,2.08884,0.624757,9.152761,2.3037624,8.953216,9.068206,1.2747877,6.9254823,5.663124,4.997327,5.6727834,4.350948,6.879662
